Country,Start,StartKcal,Finish,FinishKcal
Tunisia,1962,1233,2011,1632
Azerbaijan,1992,1372,2011,1573
Turkmenistan,1992,1374,2011,1464
Algeria,1962,843,2011,1420
Afghanistan,1962,1633,2011,1383
Morocco,1962,670,2011,1373
Uzbekistan,1992,1405,2011,1329
Turkey,1962,1253,2011,1311
Libya,1962,615,2011,1222
Jordan,1962,1040,2011,1200
Iran (Islamic Republic of),1962,817,2011,1189
Syrian Arab Republic,1962,994,2011,1175
Egypt,1962,695,2011,1169
Iraq,1962,672,2011,1166
Georgia,1992,854,2011,1164
Montenegro,2006,1249,2011,1115
Kyrgyzstan,1992,1322,2011,1076
Albania,1962,761,2011,1072
Armenia,1992,1215,2011,1039
Italy,1962,1182,2011,1033
Tajikistan,1992,998,2011,1023
Russian Federation,1992,1005,2011,1018
Malta,1962,1195,2011,1000
Lebanon,1962,1123,2011,997
Mongolia,1962,834,2011,985
Romania,1962,1206,2011,973
Israel,1962,1079,2011,943
Djibouti,1962,295,2011,929
Yemen,1962,104,2011,912
Ireland,1962,959,2011,911
Pakistan,1962,772,2011,904
Slovakia,1993,638,2011,894
Lithuania,1992,943,2011,890
Mauritius,1962,363,2011,885
Poland,1962,674,2011,879
Chile,1962,1049,2011,873
Argentina,1962,952,2011,872
Bulgaria,1962,1582,2011,867
Greece,1962,1205,2011,863
Belgium,2000,710,2011,851
Occupied Palestinian Territory,1996,918,2011,840
Ukraine,1992,1165,2011,824
Kuwait,1962,880,2011,822
Uruguay,1962,677,2011,815
Norway,1962,663,2011,803
Croatia,1992,661,2011,802
France,1962,913,2011,795
Mauritania,1962,97,2011,789
Slovenia,1992,666,2011,786
Serbia,2006,789,2011,780
Czech Republic,1993,654,2011,778
United Arab Emirates,1962,535,2011,769
Estonia,1992,549,2011,765
Luxembourg,2000,626,2011,764
The former Yugoslav Republic of Macedonia,1992,1044,2011,762
Saudi Arabia,1962,315,2011,758
United Kingdom,1962,714,2011,750
Kazakhstan,1992,1058,2011,737
Bosnia and Herzegovina,1992,637,2011,706
Hungary,1962,1170,2011,705
Trinidad and Tobago,1962,655,2011,682
Germany,1962,421,2011,664
Portugal,1962,595,2011,658
Switzerland,1962,745,2011,652
New Caledonia,1962,582,2011,645
Austria,1962,553,2011,642
Finland,1962,588,2011,641
Saint Lucia,1962,426,2011,640
Fiji,1962,582,2011,622
Cyprus,1962,888,2011,620
Bermuda,1962,447,2011,619
New Zealand,1962,665,2011,610
Latvia,1992,914,2011,604
Denmark,1962,421,2011,597
United States of America,1962,492,2011,590
Dominica,1962,503,2011,585
Sweden,1962,450,2011,576
Jamaica,1962,564,2011,572
Iceland,1962,496,2011,571
Barbados,1962,415,2011,570
Netherlands,1962,664,2011,566
Maldives,1962,115,2011,562
Spain,1962,1037,2011,562
"China, mainland",1962,195,2011,552
Australia,1962,797,2011,552
China,1962,196,2011,548
Canada,1962,580,2011,532
Belarus,1992,451,2011,515
French Polynesia,1962,789,2011,513
Saint Vincent and the Grenadines,1962,531,2011,510
India,1962,254,2011,502
Serbia and Montenegro,1992,842,2011,496
South Africa,1962,366,2011,495
Antigua and Barbuda,1962,597,2011,491
Belize,1962,544,2011,483
Gabon,1962,78,2011,469
Guyana,1962,469,2011,467
Suriname,1962,353,2011,466
Brunei Darussalam,1962,144,2011,435
Saint Kitts and Nevis,1962,488,2011,429
"China, Hong Kong SAR",1962,279,2011,415
Samoa,1962,221,2011,408
Grenada,1962,470,2011,408
Venezuela (Bolivarian Republic of),1962,291,2011,407
Republic of Korea,1962,123,2011,405
"China, Macao SAR",1962,383,2011,399
Malaysia,1962,191,2011,397
Republic of Moldova,1992,654,2011,397
Japan,1962,252,2011,392
Bolivia (Plurinational State of),1962,389,2011,392
Kiribati,1962,335,2011,390
Brazil,1962,223,2011,385
Sao Tome and Principe,1962,192,2011,375
Cuba,1962,387,2011,374
Lesotho,1962,398,2011,374
Swaziland,1970,1,2011,372
"China, Taiwan Province of",1962,236,2011,361
Nepal,1962,103,2011,348
Gambia,1962,51,2011,346
Vanuatu,1962,168,2011,343
Peru,1962,384,2011,342
Bahamas,1962,450,2011,334
Botswana,1962,67,2011,323
Costa Rica,1962,282,2011,322
Congo,1962,101,2011,316
Panama,1962,214,2011,308
Sudan (former),1962,72,2011,304
Ecuador,1962,149,2011,303
Cabo Verde,1962,83,2011,298
Honduras,1962,84,2011,295
Ethiopia,1993,197,2011,288
Solomon Islands,1962,100,2011,280
Sri Lanka,1962,141,2011,274
Angola,1962,74,2011,270
Guatemala,1962,134,2011,268
Senegal,1962,74,2011,261
Kenya,1962,77,2011,255
Colombia,1962,124,2011,250
El Salvador,1962,101,2011,247
Namibia,1962,95,2011,244
Mexico,1962,210,2011,242
Paraguay,1962,339,2011,236
Zimbabwe,1962,114,2011,231
Dominican Republic,1962,122,2011,223
Nicaragua,1962,91,2011,207
Nigeria,1962,19,2011,181
Somalia,1962,45,2011,173
Democratic People's Republic of Korea,1962,69,2011,172
Indonesia,1962,7,2011,169
Côte d'Ivoire,1962,13,2011,163
Bangladesh,1962,59,2011,148
Cameroon,1962,28,2011,145
Liberia,1962,30,2011,145
Mozambique,1962,40,2011,140
Ghana,1962,69,2011,139
Haiti,1962,78,2011,136
Guinea,1962,30,2011,126
United Republic of Tanzania,1962,38,2011,116
Philippines,1962,92,2011,110
Rwanda,1962,3,2011,104
Sierra Leone,1962,63,2011,97
Mali,1962,13,2011,91
Togo,1962,23,2011,88
Zambia,1962,45,2011,88
Guinea-Bissau,1962,20,2011,85
Uganda,1962,23,2011,85
Thailand,1962,6,2011,83
Timor-Leste,1962,20,2011,77
Malawi,1962,14,2011,71
Chad,1962,12,2011,70
Central African Republic,1962,21,2011,69
Burkina Faso,1962,11,2011,68
Benin,1962,15,2011,67
Viet Nam,1962,24,2011,66
Madagascar,1962,32,2011,64
Myanmar,1962,17,2011,46
Niger,1962,9,2011,28
Cambodia,1962,22,2011,19
Lao People's Democratic Republic,1962,8,2011,15
